outcome,p_exact,p_vae,p_train,p_unif
"(0, 0, 0, 0)",0.03125,0.01752,0.0325,0.00390625
"(0, 0, 0, 1)",0.010416666666666668,0.00688,0.01125,0.00390625
"(0, 0, 0, 2)",0.010416666666666668,0.00831,0.015,0.00390625
"(0, 0, 0, 3)",0.010416666666666668,0.00628,0.01,0.00390625
"(0, 0, 1, 0)",0.010416666666666668,0.00468,0.0075,0.00390625
"(0, 0, 1, 1)",0.0034722222222222233,0.00251,0.0,0.00390625
"(0, 0, 1, 2)",0.0034722222222222233,0.00237,0.00125,0.00390625
"(0, 0, 1, 3)",0.0034722222222222233,0.00252,0.00125,0.00390625
"(0, 0, 2, 0)",0.010416666666666668,0.008,0.01125,0.00390625
"(0, 0, 2, 1)",0.0034722222222222233,0.00479,0.00875,0.00390625
"(0, 0, 2, 2)",0.0034722222222222233,0.00513,0.00375,0.00390625
"(0, 0, 2, 3)",0.0034722222222222233,0.00384,0.00375,0.00390625
"(0, 0, 3, 0)",0.010416666666666668,0.00862,0.015,0.00390625
"(0, 0, 3, 1)",0.0034722222222222233,0.00446,0.005,0.00390625
"(0, 0, 3, 2)",0.0034722222222222233,0.00418,0.00625,0.00390625
"(0, 0, 3, 3)",0.0034722222222222233,0.00352,0.005,0.00390625
"(0, 1, 0, 0)",0.010416666666666668,0.00772,0.015,0.00390625
"(0, 1, 0, 1)",0.0034722222222222233,0.00371,0.0025,0.00390625
"(0, 1, 0, 2)",0.0034722222222222233,0.00445,0.00625,0.00390625
"(0, 1, 0, 3)",0.0034722222222222233,0.00375,0.0075,0.00390625
"(0, 1, 1, 0)",0.0034722222222222233,0.00398,0.0025,0.00390625
"(0, 1, 1, 1)",0.0011574074074074078,0.00299,0.00125,0.00390625
"(0, 1, 1, 2)",0.0011574074074074078,0.00278,0.00125,0.00390625
"(0, 1, 1, 3)",0.0011574074074074078,0.00293,0.00125,0.00390625
"(0, 1, 2, 0)",0.0034722222222222233,0.00459,0.0075,0.00390625
"(0, 1, 2, 1)",0.0011574074074074078,0.00375,0.0,0.00390625
"(0, 1, 2, 2)",0.0011574074074074078,0.00376,0.00125,0.00390625
"(0, 1, 2, 3)",0.0011574074074074078,0.00336,0.0,0.00390625
"(0, 1, 3, 0)",0.0034722222222222233,0.00505,0.005,0.00390625
"(0, 1, 3, 1)",0.0011574074074074078,0.00399,0.0025,0.00390625
"(0, 1, 3, 2)",0.0011574074074074078,0.00344,0.00125,0.00390625
"(0, 1, 3, 3)",0.0011574074074074078,0.00314,0.00125,0.00390625
"(0, 2, 0, 0)",0.010416666666666668,0.0052,0.00875,0.00390625
"(0, 2, 0, 1)",0.0034722222222222233,0.00307,0.00375,0.00390625
"(0, 2, 0, 2)",0.0034722222222222233,0.00362,0.0025,0.00390625
"(0, 2, 0, 3)",0.0034722222222222233,0.00322,0.00375,0.00390625
"(0, 2, 1, 0)",0.0034722222222222233,0.00248,0.0025,0.00390625
"(0, 2, 1, 1)",0.0011574074074074078,0.00222,0.00125,0.00390625
"(0, 2, 1, 2)",0.0011574074074074078,0.00242,0.00125,0.00390625
"(0, 2, 1, 3)",0.0011574074074074078,0.00225,0.0,0.00390625
"(0, 2, 2, 0)",0.0034722222222222233,0.00317,0.0,0.00390625
"(0, 2, 2, 1)",0.0011574074074074078,0.00312,0.00125,0.00390625
"(0, 2, 2, 2)",0.0011574074074074078,0.00371,0.00375,0.00390625
"(0, 2, 2, 3)",0.0011574074074074078,0.00306,0.0,0.00390625
"(0, 2, 3, 0)",0.0034722222222222233,0.00381,0.0075,0.00390625
"(0, 2, 3, 1)",0.0011574074074074078,0.00356,0.0,0.00390625
"(0, 2, 3, 2)",0.0011574074074074078,0.00425,0.0025,0.00390625
"(0, 2, 3, 3)",0.0011574074074074078,0.00353,0.00125,0.00390625
"(0, 3, 0, 0)",0.010416666666666668,0.00627,0.00625,0.00390625
"(0, 3, 0, 1)",0.0034722222222222233,0.00294,0.0,0.00390625
"(0, 3, 0, 2)",0.0034722222222222233,0.0039,0.00125,0.00390625
"(0, 3, 0, 3)",0.0034722222222222233,0.00312,0.00375,0.00390625
"(0, 3, 1, 0)",0.0034722222222222233,0.00313,0.00375,0.00390625
"(0, 3, 1, 1)",0.0011574074074074078,0.00182,0.0025,0.00390625
"(0, 3, 1, 2)",0.0011574074074074078,0.00244,0.00125,0.00390625
"(0, 3, 1, 3)",0.0011574074074074078,0.00206,0.0,0.00390625
"(0, 3, 2, 0)",0.0034722222222222233,0.00373,0.00375,0.00390625
"(0, 3, 2, 1)",0.0011574074074074078,0.00317,0.0,0.00390625
"(0, 3, 2, 2)",0.0011574074074074078,0.0037,0.005,0.00390625
"(0, 3, 2, 3)",0.0011574074074074078,0.00249,0.00125,0.00390625
"(0, 3, 3, 0)",0.0034722222222222233,0.00473,0.005,0.00390625
"(0, 3, 3, 1)",0.0011574074074074078,0.00299,0.0,0.00390625
"(0, 3, 3, 2)",0.0011574074074074078,0.00333,0.0025,0.00390625
"(0, 3, 3, 3)",0.0011574074074074078,0.00268,0.00125,0.00390625
"(1, 0, 0, 0)",0.010416666666666668,0.0052,0.00875,0.00390625
"(1, 0, 0, 1)",0.0034722222222222233,0.00329,0.00125,0.00390625
"(1, 0, 0, 2)",0.0034722222222222233,0.00324,0.005,0.00390625
"(1, 0, 0, 3)",0.0034722222222222233,0.00346,0.00125,0.00390625
"(1, 0, 1, 0)",0.0034722222222222233,0.00226,0.00125,0.00390625
"(1, 0, 1, 1)",0.0011574074074074078,0.00228,0.0,0.00390625
"(1, 0, 1, 2)",0.0011574074074074078,0.002,0.0,0.00390625
"(1, 0, 1, 3)",0.0011574074074074078,0.00235,0.0,0.00390625
"(1, 0, 2, 0)",0.0034722222222222233,0.00306,0.005,0.00390625
"(1, 0, 2, 1)",0.0011574074074074078,0.00343,0.00125,0.00390625
"(1, 0, 2, 2)",0.0011574074074074078,0.00325,0.00125,0.00390625
"(1, 0, 2, 3)",0.0011574074074074078,0.00306,0.00375,0.00390625
"(1, 0, 3, 0)",0.0034722222222222233,0.0026,0.0025,0.00390625
"(1, 0, 3, 1)",0.0011574074074074078,0.00219,0.0025,0.00390625
"(1, 0, 3, 2)",0.0011574074074074078,0.00168,0.0,0.00390625
"(1, 0, 3, 3)",0.0011574074074074078,0.00244,0.00125,0.00390625
"(1, 1, 0, 0)",0.0034722222222222233,0.00277,0.0025,0.00390625
"(1, 1, 0, 1)",0.0011574074074074078,0.00289,0.0025,0.00390625
"(1, 1, 0, 2)",0.0011574074074074078,0.00259,0.0,0.00390625
"(1, 1, 0, 3)",0.0011574074074074078,0.00302,0.0,0.00390625
"(1, 1, 1, 0)",0.0011574074074074078,0.00246,0.0025,0.00390625
"(1, 1, 1, 1)",0.009645061728395061,0.00665,0.01,0.00390625
"(1, 1, 1, 2)",0.00501543209876543,0.00464,0.005,0.00390625
"(1, 1, 1, 3)",0.00501543209876543,0.00552,0.01,0.00390625
"(1, 1, 2, 0)",0.0011574074074074078,0.00249,0.0,0.00390625
"(1, 1, 2, 1)",0.00501543209876543,0.00571,0.00375,0.00390625
"(1, 1, 2, 2)",0.00501543209876543,0.00455,0.005,0.00390625
"(1, 1, 2, 3)",0.009645061728395061,0.00535,0.01,0.00390625
"(1, 1, 3, 0)",0.0011574074074074078,0.00204,0.00125,0.00390625
"(1, 1, 3, 1)",0.00501543209876543,0.00526,0.00375,0.00390625
"(1, 1, 3, 2)",0.009645061728395061,0.00325,0.005,0.00390625
"(1, 1, 3, 3)",0.00501543209876543,0.00421,0.00125,0.00390625
"(1, 2, 0, 0)",0.0034722222222222233,0.00233,0.0025,0.00390625
"(1, 2, 0, 1)",0.0011574074074074078,0.00272,0.00125,0.00390625
"(1, 2, 0, 2)",0.0011574074074074078,0.00286,0.00125,0.00390625
"(1, 2, 0, 3)",0.0011574074074074078,0.003,0.00125,0.00390625
"(1, 2, 1, 0)",0.0011574074074074078,0.00197,0.0,0.00390625
"(1, 2, 1, 1)",0.00501543209876543,0.00594,0.00875,0.00390625
"(1, 2, 1, 2)",0.00501543209876543,0.00435,0.005,0.00390625
"(1, 2, 1, 3)",0.009645061728395061,0.00591,0.00875,0.00390625
"(1, 2, 2, 0)",0.0011574074074074078,0.00246,0.0,0.00390625
"(1, 2, 2, 1)",0.00501543209876543,0.00573,0.0075,0.00390625
"(1, 2, 2, 2)",0.009645061728395061,0.00489,0.005,0.00390625
"(1, 2, 2, 3)",0.00501543209876543,0.00557,0.00875,0.00390625
"(1, 2, 3, 0)",0.0011574074074074078,0.00217,0.0,0.00390625
"(1, 2, 3, 1)",0.009645061728395061,0.00542,0.01375,0.00390625
"(1, 2, 3, 2)",0.00501543209876543,0.00383,0.0,0.00390625
"(1, 2, 3, 3)",0.00501543209876543,0.00471,0.0025,0.00390625
"(1, 3, 0, 0)",0.0034722222222222233,0.00337,0.00375,0.00390625
"(1, 3, 0, 1)",0.0011574074074074078,0.00249,0.0025,0.00390625
"(1, 3, 0, 2)",0.0011574074074074078,0.0031,0.0,0.00390625
"(1, 3, 0, 3)",0.0011574074074074078,0.003,0.0025,0.00390625
"(1, 3, 1, 0)",0.0011574074074074078,0.00253,0.00125,0.00390625
"(1, 3, 1, 1)",0.00501543209876543,0.00521,0.00625,0.00390625
"(1, 3, 1, 2)",0.009645061728395061,0.00425,0.00875,0.00390625
"(1, 3, 1, 3)",0.00501543209876543,0.00558,0.005,0.00390625
"(1, 3, 2, 0)",0.0011574074074074078,0.00344,0.00375,0.00390625
"(1, 3, 2, 1)",0.009645061728395061,0.00581,0.0125,0.00390625
"(1, 3, 2, 2)",0.00501543209876543,0.0056,0.00625,0.00390625
"(1, 3, 2, 3)",0.00501543209876543,0.00533,0.005,0.00390625
"(1, 3, 3, 0)",0.0011574074074074078,0.00281,0.00125,0.00390625
"(1, 3, 3, 1)",0.00501543209876543,0.00493,0.00375,0.00390625
"(1, 3, 3, 2)",0.00501543209876543,0.00408,0.00375,0.00390625
"(1, 3, 3, 3)",0.009645061728395061,0.00409,0.00875,0.00390625
"(2, 0, 0, 0)",0.010416666666666668,0.00576,0.01,0.00390625
"(2, 0, 0, 1)",0.0034722222222222233,0.00261,0.00125,0.00390625
"(2, 0, 0, 2)",0.0034722222222222233,0.00327,0.00625,0.00390625
"(2, 0, 0, 3)",0.0034722222222222233,0.00263,0.00625,0.00390625
"(2, 0, 1, 0)",0.0034722222222222233,0.00276,0.00125,0.00390625
"(2, 0, 1, 1)",0.0011574074074074078,0.00203,0.00125,0.00390625
"(2, 0, 1, 2)",0.0011574074074074078,0.00203,0.0,0.00390625
"(2, 0, 1, 3)",0.0011574074074074078,0.00203,0.0,0.00390625
"(2, 0, 2, 0)",0.0034722222222222233,0.00359,0.00375,0.00390625
"(2, 0, 2, 1)",0.0011574074074074078,0.00293,0.00125,0.00390625
"(2, 0, 2, 2)",0.0011574074074074078,0.00321,0.0,0.00390625
"(2, 0, 2, 3)",0.0011574074074074078,0.00275,0.0,0.00390625
"(2, 0, 3, 0)",0.0034722222222222233,0.00421,0.005,0.00390625
"(2, 0, 3, 1)",0.0011574074074074078,0.00304,0.0,0.00390625
"(2, 0, 3, 2)",0.0011574074074074078,0.0027,0.00125,0.00390625
"(2, 0, 3, 3)",0.0011574074074074078,0.00266,0.0,0.00390625
"(2, 1, 0, 0)",0.0034722222222222233,0.00357,0.00125,0.00390625
"(2, 1, 0, 1)",0.0011574074074074078,0.00262,0.0,0.00390625
"(2, 1, 0, 2)",0.0011574074074074078,0.00353,0.0,0.00390625
"(2, 1, 0, 3)",0.0011574074074074078,0.00291,0.0,0.00390625
"(2, 1, 1, 0)",0.0011574074074074078,0.00377,0.00125,0.00390625
"(2, 1, 1, 1)",0.00501543209876543,0.00659,0.01,0.00390625
"(2, 1, 1, 2)",0.00501543209876543,0.005,0.005,0.00390625
"(2, 1, 1, 3)",0.009645061728395061,0.006,0.00875,0.00390625
"(2, 1, 2, 0)",0.0011574074074074078,0.00357,0.00125,0.00390625
"(2, 1, 2, 1)",0.00501543209876543,0.00635,0.0075,0.00390625
"(2, 1, 2, 2)",0.009645061728395061,0.00547,0.0075,0.00390625
"(2, 1, 2, 3)",0.00501543209876543,0.00522,0.00875,0.00390625
"(2, 1, 3, 0)",0.0011574074074074078,0.00365,0.00375,0.00390625
"(2, 1, 3, 1)",0.009645061728395061,0.00697,0.0125,0.00390625
"(2, 1, 3, 2)",0.00501543209876543,0.00502,0.005,0.00390625
"(2, 1, 3, 3)",0.00501543209876543,0.00539,0.005,0.00390625
"(2, 2, 0, 0)",0.0034722222222222233,0.0024,0.0025,0.00390625
"(2, 2, 0, 1)",0.0011574074074074078,0.00223,0.0,0.00390625
"(2, 2, 0, 2)",0.0011574074074074078,0.00281,0.00375,0.00390625
"(2, 2, 0, 3)",0.0011574074074074078,0.00262,0.0,0.00390625
"(2, 2, 1, 0)",0.0011574074074074078,0.00244,0.00125,0.00390625
"(2, 2, 1, 1)",0.00501543209876543,0.00489,0.00375,0.00390625
"(2, 2, 1, 2)",0.009645061728395061,0.00467,0.0075,0.00390625
"(2, 2, 1, 3)",0.00501543209876543,0.00507,0.00875,0.00390625
"(2, 2, 2, 0)",0.0011574074074074078,0.00264,0.00125,0.00390625
"(2, 2, 2, 1)",0.009645061728395061,0.00502,0.00625,0.00390625
"(2, 2, 2, 2)",0.00501543209876543,0.00541,0.01,0.00390625
"(2, 2, 2, 3)",0.00501543209876543,0.00487,0.00375,0.00390625
"(2, 2, 3, 0)",0.0011574074074074078,0.00298,0.0,0.00390625
"(2, 2, 3, 1)",0.00501543209876543,0.00527,0.0075,0.00390625
"(2, 2, 3, 2)",0.00501543209876543,0.00519,0.00125,0.00390625
"(2, 2, 3, 3)",0.009645061728395061,0.00466,0.0075,0.00390625
"(2, 3, 0, 0)",0.0034722222222222233,0.0034,0.00625,0.00390625
"(2, 3, 0, 1)",0.0011574074074074078,0.00229,0.00125,0.00390625
"(2, 3, 0, 2)",0.0011574074074074078,0.00346,0.0025,0.00390625
"(2, 3, 0, 3)",0.0011574074074074078,0.00246,0.0,0.00390625
"(2, 3, 1, 0)",0.0011574074074074078,0.00274,0.00125,0.00390625
"(2, 3, 1, 1)",0.009645061728395061,0.00415,0.005,0.00390625
"(2, 3, 1, 2)",0.00501543209876543,0.00425,0.00625,0.00390625
"(2, 3, 1, 3)",0.00501543209876543,0.00473,0.0025,0.00390625
"(2, 3, 2, 0)",0.0011574074074074078,0.00346,0.0,0.00390625
"(2, 3, 2, 1)",0.00501543209876543,0.00495,0.005,0.00390625
"(2, 3, 2, 2)",0.00501543209876543,0.00537,0.0075,0.00390625
"(2, 3, 2, 3)",0.009645061728395061,0.00476,0.005,0.00390625
"(2, 3, 3, 0)",0.0011574074074074078,0.00381,0.00125,0.00390625
"(2, 3, 3, 1)",0.00501543209876543,0.00511,0.00875,0.00390625
"(2, 3, 3, 2)",0.009645061728395061,0.0056,0.00875,0.00390625
"(2, 3, 3, 3)",0.00501543209876543,0.00478,0.00625,0.00390625
"(3, 0, 0, 0)",0.010416666666666668,0.00681,0.00875,0.00390625
"(3, 0, 0, 1)",0.0034722222222222233,0.00274,0.0025,0.00390625
"(3, 0, 0, 2)",0.0034722222222222233,0.00444,0.0025,0.00390625
"(3, 0, 0, 3)",0.0034722222222222233,0.00341,0.0025,0.00390625
"(3, 0, 1, 0)",0.0034722222222222233,0.00298,0.00625,0.00390625
"(3, 0, 1, 1)",0.0011574074074074078,0.00233,0.00125,0.00390625
"(3, 0, 1, 2)",0.0011574074074074078,0.00213,0.0,0.00390625
"(3, 0, 1, 3)",0.0011574074074074078,0.00261,0.005,0.00390625
"(3, 0, 2, 0)",0.0034722222222222233,0.00406,0.005,0.00390625
"(3, 0, 2, 1)",0.0011574074074074078,0.00382,0.0025,0.00390625
"(3, 0, 2, 2)",0.0011574074074074078,0.00399,0.00375,0.00390625
"(3, 0, 2, 3)",0.0011574074074074078,0.00337,0.00375,0.00390625
"(3, 0, 3, 0)",0.0034722222222222233,0.00392,0.0025,0.00390625
"(3, 0, 3, 1)",0.0011574074074074078,0.00273,0.0,0.00390625
"(3, 0, 3, 2)",0.0011574074074074078,0.00263,0.0,0.00390625
"(3, 0, 3, 3)",0.0011574074074074078,0.00297,0.0,0.00390625
"(3, 1, 0, 0)",0.0034722222222222233,0.00313,0.00375,0.00390625
"(3, 1, 0, 1)",0.0011574074074074078,0.00256,0.00125,0.00390625
"(3, 1, 0, 2)",0.0011574074074074078,0.00285,0.00125,0.00390625
"(3, 1, 0, 3)",0.0011574074074074078,0.00268,0.0,0.00390625
"(3, 1, 1, 0)",0.0011574074074074078,0.00299,0.0025,0.00390625
"(3, 1, 1, 1)",0.00501543209876543,0.00594,0.00875,0.00390625
"(3, 1, 1, 2)",0.009645061728395061,0.00381,0.005,0.00390625
"(3, 1, 1, 3)",0.00501543209876543,0.00554,0.0025,0.00390625
"(3, 1, 2, 0)",0.0011574074074074078,0.00365,0.0,0.00390625
"(3, 1, 2, 1)",0.009645061728395061,0.00566,0.01,0.00390625
"(3, 1, 2, 2)",0.00501543209876543,0.00557,0.00375,0.00390625
"(3, 1, 2, 3)",0.00501543209876543,0.00606,0.00625,0.00390625
"(3, 1, 3, 0)",0.0011574074074074078,0.00346,0.0,0.00390625
"(3, 1, 3, 1)",0.00501543209876543,0.00604,0.005,0.00390625
"(3, 1, 3, 2)",0.00501543209876543,0.00531,0.0075,0.00390625
"(3, 1, 3, 3)",0.009645061728395061,0.0056,0.015,0.00390625
"(3, 2, 0, 0)",0.0034722222222222233,0.0023,0.00125,0.00390625
"(3, 2, 0, 1)",0.0011574074074074078,0.00194,0.00125,0.00390625
"(3, 2, 0, 2)",0.0011574074074074078,0.00311,0.00125,0.00390625
"(3, 2, 0, 3)",0.0011574074074074078,0.00266,0.0025,0.00390625
"(3, 2, 1, 0)",0.0011574074074074078,0.00193,0.0,0.00390625
"(3, 2, 1, 1)",0.009645061728395061,0.00389,0.0075,0.00390625
"(3, 2, 1, 2)",0.00501543209876543,0.00379,0.0025,0.00390625
"(3, 2, 1, 3)",0.00501543209876543,0.00396,0.005,0.00390625
"(3, 2, 2, 0)",0.0011574074074074078,0.00248,0.0,0.00390625
"(3, 2, 2, 1)",0.00501543209876543,0.00435,0.00375,0.00390625
"(3, 2, 2, 2)",0.00501543209876543,0.00579,0.0075,0.00390625
"(3, 2, 2, 3)",0.009645061728395061,0.00574,0.01,0.00390625
"(3, 2, 3, 0)",0.0011574074074074078,0.0027,0.00125,0.00390625
"(3, 2, 3, 1)",0.00501543209876543,0.00441,0.0025,0.00390625
"(3, 2, 3, 2)",0.009645061728395061,0.00581,0.0125,0.00390625
"(3, 2, 3, 3)",0.00501543209876543,0.00504,0.00375,0.00390625
"(3, 3, 0, 0)",0.0034722222222222233,0.00325,0.0025,0.00390625
"(3, 3, 0, 1)",0.0011574074074074078,0.00238,0.0,0.00390625
"(3, 3, 0, 2)",0.0011574074074074078,0.00336,0.00625,0.00390625
"(3, 3, 0, 3)",0.0011574074074074078,0.00297,0.00125,0.00390625
"(3, 3, 1, 0)",0.0011574074074074078,0.0026,0.00125,0.00390625
"(3, 3, 1, 1)",0.00501543209876543,0.0034,0.0025,0.00390625
"(3, 3, 1, 2)",0.00501543209876543,0.00361,0.0,0.00390625
"(3, 3, 1, 3)",0.009645061728395061,0.00432,0.01,0.00390625
"(3, 3, 2, 0)",0.0011574074074074078,0.00285,0.0025,0.00390625
"(3, 3, 2, 1)",0.00501543209876543,0.00415,0.0025,0.00390625
"(3, 3, 2, 2)",0.009645061728395061,0.00545,0.0075,0.00390625
"(3, 3, 2, 3)",0.00501543209876543,0.00469,0.0025,0.00390625
"(3, 3, 3, 0)",0.0011574074074074078,0.00355,0.00375,0.00390625
"(3, 3, 3, 1)",0.009645061728395061,0.00433,0.00875,0.00390625
"(3, 3, 3, 2)",0.00501543209876543,0.00511,0.005,0.00390625
"(3, 3, 3, 3)",0.00501543209876543,0.0051,0.005,0.00390625
