kl_loss,kl_weight,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss,learning_rate
0.6253254413604736,0.021250000223517418,5.766894340515137,5.753606796264648,0.6347909569740295,5.622453212738037,5.608963489532471,0.0010000000474974513
0.6863612532615662,0.042500000447034836,5.498970985412598,5.4698004722595215,0.7016537189483643,5.4864301681518555,5.456609725952148,0.0010000000474974513
0.8342064619064331,0.0637499988079071,5.404789924621582,5.351609706878662,0.8323633670806885,5.440225124359131,5.387161731719971,0.0010000000474974513
1.0162361860275269,0.08500000089406967,5.361417293548584,5.2750372886657715,1.0183161497116089,5.358270168304443,5.271714687347412,0.0010000000474974513
1.281571388244629,0.10625000298023224,5.144221782684326,5.008055210113525,1.311125636100769,5.191275596618652,5.051968097686768,0.0010000000474974513
1.7847055196762085,0.1274999976158142,5.051950454711914,4.824400424957275,1.7799948453903198,5.0616536140441895,4.8347039222717285,0.0010000000474974513
2.351623296737671,0.14875000715255737,4.899989604949951,4.550185680389404,2.461982488632202,4.908699989318848,4.542479991912842,0.0010000000474974513
3.2759158611297607,0.17000000178813934,4.698346138000488,4.1414408683776855,3.1123297214508057,4.801901340484619,4.272805213928223,0.0010000000474974513
3.789879083633423,0.1912499964237213,4.450438022613525,3.725623846054077,3.4205710887908936,4.675271511077881,4.021087169647217,0.0010000000474974513
3.6851303577423096,0.21250000596046448,4.370859146118164,3.5877695083618164,3.4331111907958984,4.456834316253662,3.7272980213165283,0.0010000000474974513
3.8372228145599365,0.23375000059604645,4.288052082061768,3.391101121902466,3.615002393722534,4.511870861053467,3.6668643951416016,0.0010000000474974513
4.1292901039123535,0.2549999952316284,4.20889949798584,3.155930757522583,3.9736862182617188,4.393861293792725,3.3805713653564453,0.0010000000474974513
4.3847503662109375,0.2762500047683716,4.309802055358887,3.098515033721924,4.270506381988525,4.438833713531494,3.259106397628784,0.0010000000474974513
4.51999044418335,0.29750001430511475,4.224411487579346,2.879714250564575,4.33128547668457,4.212038993835449,2.9234817028045654,0.0010000000474974513
4.376714706420898,0.3187499940395355,4.281010627746582,2.885932683944702,4.23872184753418,4.24509859085083,2.8940062522888184,0.0010000000474974513
4.276824474334717,0.3400000035762787,4.122653007507324,2.668532609939575,4.126547813415527,4.310006141662598,2.906980037689209,0.0010000000474974513
4.226317882537842,0.36125001311302185,4.155462265014648,2.628704786300659,4.088083267211914,4.361978530883789,2.8851587772369385,0.0010000000474974513
4.1190080642700195,0.3824999928474426,4.278094291687012,2.702573776245117,4.044943332672119,4.4345383644104,2.887347936630249,0.0010000000474974513
4.079398155212402,0.4037500023841858,4.305734634399414,2.6586780548095703,4.034829616546631,4.451621055603027,2.822558641433716,0.0010000000474974513
4.0993475914001465,0.42500001192092896,4.311358451843262,2.5691356658935547,4.068740367889404,4.364541053771973,2.6353261470794678,0.0010000000474974513
4.116668701171875,0.44624999165534973,4.358549118041992,2.5214858055114746,4.004077434539795,4.483063697814941,2.69624400138855,0.0010000000474974513
3.881265878677368,0.4675000011920929,4.4303812980651855,2.615889310836792,3.874544143676758,4.4638214111328125,2.6524715423583984,0.0010000000474974513
3.763028144836426,0.48875001072883606,4.45228385925293,2.6131033897399902,3.705531597137451,4.607046604156494,2.795968532562256,0.0010000000474974513
3.6743054389953613,0.5099999904632568,4.5198564529418945,2.645961284637451,3.6767396926879883,4.6425557136535645,2.767418146133423,0.0010000000474974513
3.696089506149292,0.53125,4.657772541046143,2.6942248344421387,3.696660041809082,4.650443077087402,2.6865923404693604,0.0010000000474974513
3.6968746185302734,0.5525000095367432,4.744051933288574,2.701528310775757,3.687040328979492,4.670472145080566,2.633382558822632,0.0010000000474974513
3.6088979244232178,0.5737500190734863,4.6680121421813965,2.5974068641662598,3.544414758682251,5.066438674926758,3.032830238342285,0.0010000000474974513
3.457832098007202,0.5950000286102295,4.750482559204102,2.693072557449341,3.4416534900665283,4.807982921600342,2.7601990699768066,0.0010000000474974513
3.3770911693573,0.6162499785423279,4.70990514755249,2.628772497177124,3.3414316177368164,4.918670654296875,2.859513521194458,0.0010000000474974513
3.2338900566101074,0.637499988079071,5.0291337966918945,2.967529058456421,3.1815762519836426,4.891021728515625,2.862767219543457,0.0010000000474974513
3.1444411277770996,0.6587499976158142,5.0362653732299805,2.964864492416382,3.132861852645874,5.404080390930176,3.3403077125549316,0.0010000000474974513
3.116429328918457,0.6800000071525574,5.017675876617432,2.8985037803649902,3.102832555770874,5.04610538482666,2.9361793994903564,0.0010000000474974513
2.994696617126465,0.7012500166893005,5.2717485427856445,3.171717643737793,2.948580741882324,5.0750627517700195,3.007370710372925,0.0010000000474974513
2.9059360027313232,0.7225000262260437,5.055212497711182,2.955673933029175,2.861978054046631,5.298006534576416,3.230227470397949,0.0010000000474974513
2.8302557468414307,0.7437499761581421,5.189993858337402,3.084991455078125,2.8072924613952637,5.1288743019104,3.0409510135650635,0.0010000000474974513
2.736821174621582,0.7649999856948853,5.513940334320068,3.420271873474121,2.7131943702697754,5.311904430389404,3.2363107204437256,0.0010000000474974513
2.6744580268859863,0.7862499952316284,5.408224582672119,3.305432081222534,2.6544229984283447,5.315298080444336,3.2282581329345703,0.0005000000237487257
2.593480110168457,0.8075000047683716,5.367069244384766,3.2728335857391357,2.5656023025512695,5.5865912437438965,3.5148673057556152,0.0005000000237487257
2.526395559310913,0.8287500143051147,5.412588596343994,3.318837881088257,2.493572235107422,5.324862480163574,3.258314847946167,0.0005000000237487257
2.4214060306549072,0.8500000238418579,5.171431064605713,3.113236427307129,2.411484956741333,5.428268909454346,3.378507137298584,0.0005000000237487257
2.3690333366394043,0.8500000238418579,5.497340202331543,3.4836618900299072,2.329857587814331,5.4244704246521,3.444091558456421,0.0005000000237487257
2.287644386291504,0.8500000238418579,5.369772911071777,3.4252748489379883,2.2706007957458496,5.616764068603516,3.6867525577545166,0.0005000000237487257
2.251845121383667,0.8500000238418579,5.634156703948975,3.720088243484497,2.2497949600219727,5.348089218139648,3.435763359069824,0.0005000000237487257
2.2371363639831543,0.8500000238418579,5.6072282791137695,3.705662727355957,2.245152473449707,5.676058292388916,3.767678737640381,0.0005000000237487257
2.252514600753784,0.8500000238418579,5.308359146118164,3.393721342086792,2.2350690364837646,5.418760776519775,3.5189523696899414,0.0005000000237487257
2.2308461666107178,0.8500000238418579,5.388692855834961,3.4924733638763428,2.214737892150879,5.50808572769165,3.625558376312256,0.0005000000237487257
2.1991918087005615,0.8500000238418579,5.280526638031006,3.4112133979797363,2.1873862743377686,5.3685712814331055,3.5092926025390625,0.0005000000237487257
2.1631298065185547,0.8500000238418579,5.3346757888793945,3.4960150718688965,2.1462485790252686,5.54450798034668,3.7201967239379883,0.0005000000237487257
2.144392490386963,0.8500000238418579,5.334962368011475,3.5122289657592773,2.1080808639526367,5.640066146850586,3.8481967449188232,0.0005000000237487257
2.1089932918548584,0.8500000238418579,5.595494270324707,3.8028502464294434,2.0911033153533936,5.392067909240723,3.6146302223205566,0.0005000000237487257
2.098003625869751,0.8500000238418579,5.3129048347473145,3.5296013355255127,2.0810651779174805,5.35379695892334,3.5848920345306396,0.0005000000237487257
2.099684715270996,0.8500000238418579,5.251208305358887,3.46647572517395,2.068666696548462,5.100437641143799,3.3420705795288086,0.0005000000237487257
2.0644922256469727,0.8500000238418579,5.43343448638916,3.6786160469055176,2.0587430000305176,5.494149684906006,3.744218349456787,0.0005000000237487257
2.061007022857666,0.8500000238418579,5.4121856689453125,3.660329580307007,2.047398090362549,5.522731781005859,3.7824435234069824,0.0005000000237487257
2.0417325496673584,0.8500000238418579,5.477456092834473,3.741983652114868,2.0310754776000977,5.574238300323486,3.847824811935425,0.0005000000237487257
2.045792579650879,0.8500000238418579,5.269739151000977,3.530815362930298,2.0249948501586914,5.253598690032959,3.532353162765503,0.0005000000237487257
2.047633647918701,0.8500000238418579,5.394517421722412,3.65402889251709,2.022975206375122,5.2186055183410645,3.4990761280059814,0.0002500000118743628
2.0389184951782227,0.8500000238418579,5.522386074066162,3.789304733276367,2.0166399478912354,5.841611862182617,4.127468109130859,0.0002500000118743628
2.0162136554718018,0.8500000238418579,5.582499980926514,3.868718147277832,2.0110671520233154,5.828512191772461,4.119104385375977,0.0002500000118743628
2.0311996936798096,0.8500000238418579,5.170109272003174,3.443589448928833,2.008681297302246,5.2387189865112305,3.531339645385742,0.0002500000118743628
2.0181870460510254,0.8500000238418579,5.221353530883789,3.505894660949707,2.000678062438965,5.398885726928711,3.6983094215393066,0.0002500000118743628
2.020766496658325,0.8500000238418579,5.447030067443848,3.7293787002563477,1.9934982061386108,5.519324779510498,3.8248512744903564,0.0002500000118743628
2.0008339881896973,0.8500000238418579,5.379414081573486,3.6787054538726807,1.9842019081115723,5.167530536651611,3.480958938598633,0.0002500000118743628
2.009375810623169,0.8500000238418579,5.194293022155762,3.486323833465576,1.9765489101409912,5.508824348449707,3.8287572860717773,0.0002500000118743628
1.998132348060608,0.8500000238418579,5.359769344329834,3.6613569259643555,1.9727765321731567,5.616198539733887,3.9393389225006104,0.0002500000118743628
1.9910110235214233,0.8500000238418579,5.2451171875,3.5527572631835938,1.9682669639587402,5.563607215881348,3.890580415725708,0.0002500000118743628
1.98197603225708,0.8500000238418579,5.334147930145264,3.649468421936035,1.9597752094268799,5.420259952545166,3.754451036453247,0.0002500000118743628
1.9856371879577637,0.8500000238418579,5.439906597137451,3.752114772796631,1.954286813735962,5.4601593017578125,3.799015522003174,0.0002500000118743628
1.969599962234497,0.8500000238418579,5.46237325668335,3.7882137298583984,1.9477382898330688,5.439626693725586,3.7840490341186523,0.0002500000118743628
1.9582363367080688,0.8500000238418579,5.403083324432373,3.7385830879211426,1.9390285015106201,5.355147838592529,3.7069733142852783,0.0002500000118743628
1.958470106124878,0.8500000238418579,5.429056167602539,3.7643563747406006,1.9324301481246948,5.6851091384887695,4.042543411254883,0.0002500000118743628
1.9641902446746826,0.8500000238418579,5.282937049865723,3.613374710083008,1.9184032678604126,5.2288312911987305,3.598188877105713,0.0002500000118743628
1.9410967826843262,0.8500000238418579,5.376297473907471,3.7263643741607666,1.9059555530548096,5.490365982055664,3.8703038692474365,0.0002500000118743628
1.9191555976867676,0.8500000238418579,5.4767374992370605,3.8454556465148926,1.897538423538208,5.576930046081543,3.964021921157837,0.0002500000118743628
1.9281753301620483,0.8500000238418579,5.256155967712402,3.617206335067749,1.8931890726089478,5.3273539543151855,3.718143939971924,0.0002500000118743628
1.9044241905212402,0.8500000238418579,5.384699821472168,3.765939235687256,1.892695665359497,5.522993087768555,3.9142017364501953,0.0002500000118743628
1.9011459350585938,0.8500000238418579,5.281513690948486,3.665539503097534,1.8886431455612183,5.506309986114502,3.9009628295898438,0.0001250000059371814
1.91737961769104,0.8500000238418579,5.2023749351501465,3.5726022720336914,1.8826614618301392,5.546075344085693,3.945812940597534,0.0001250000059371814
1.9118945598602295,0.8500000238418579,5.070207595825195,3.4450976848602295,1.874625563621521,5.469480991363525,3.876049280166626,0.0001250000059371814
1.885526418685913,0.8500000238418579,5.530838489532471,3.9281411170959473,1.867922067642212,5.306087493896484,3.7183539867401123,0.0001250000059371814
1.8914788961410522,0.8500000238418579,5.255168437957764,3.6474108695983887,1.8638614416122437,5.437068939208984,3.852787494659424,0.0001250000059371814
1.8828905820846558,0.8500000238418579,5.4767231941223145,3.87626576423645,1.8611465692520142,5.542791366577148,3.9608168601989746,0.0001250000059371814
1.8615427017211914,0.8500000238418579,5.350255012512207,3.7679433822631836,1.8601205348968506,5.241696357727051,3.6605939865112305,0.0001250000059371814
1.879491925239563,0.8500000238418579,5.475625991821289,3.8780581951141357,1.8554922342300415,5.57676887512207,3.9996001720428467,0.0001250000059371814
1.8807988166809082,0.8500000238418579,5.1840362548828125,3.5853569507598877,1.8521913290023804,5.545367240905762,3.971004009246826,0.0001250000059371814
1.8689748048782349,0.8500000238418579,5.395381927490234,3.806753158569336,1.848177194595337,5.401567459106445,3.8306164741516113,0.0001250000059371814
1.8777955770492554,0.8500000238418579,5.400104999542236,3.803978204727173,1.846807837486267,5.3286519050598145,3.7588651180267334,0.0001250000059371814
1.87410306930542,0.8500000238418579,5.439658164978027,3.846670150756836,1.847866177558899,5.545080661773682,3.974393844604492,0.0001250000059371814
1.871861219406128,0.8500000238418579,5.096731662750244,3.5056493282318115,1.8482110500335693,5.234238147735596,3.6632585525512695,0.0001250000059371814
1.8492028713226318,0.8500000238418579,5.343235015869141,3.7714121341705322,1.8506585359573364,5.392731189727783,3.819671869277954,0.0001250000059371814
1.8527069091796875,0.8500000238418579,5.147331714630127,3.572531223297119,1.852347731590271,5.565942287445068,3.9914472103118896,0.0001250000059371814
1.8876227140426636,0.8500000238418579,5.11414909362793,3.509669780731201,1.8483636379241943,5.443370819091797,3.8722622394561768,0.0001250000059371814
1.8772543668746948,0.8500000238418579,5.3456711769104,3.7500052452087402,1.843522071838379,5.337177753448486,3.770183801651001,0.0001250000059371814
1.8656775951385498,0.8500000238418579,5.28108024597168,3.695253849029541,1.8393536806106567,5.158127307891846,3.5946764945983887,0.0001250000059371814
1.8732352256774902,0.8500000238418579,5.21907901763916,3.626829147338867,1.8386378288269043,5.665562629699707,4.102720737457275,0.0001250000059371814
1.86006498336792,0.8500000238418579,5.2705769538879395,3.689521551132202,1.8392366170883179,5.442852020263672,3.8795013427734375,0.0001250000059371814
1.8636468648910522,0.8500000238418579,5.4541826248168945,3.8700826168060303,1.8396817445755005,5.500800132751465,3.937070846557617,6.25000029685907e-05
1.8657184839248657,0.8500000238418579,5.382440090179443,3.796579360961914,1.842536211013794,5.411125659942627,3.8449695110321045,6.25000029685907e-05
1.8604035377502441,0.8500000238418579,5.394986629486084,3.813643217086792,1.8447887897491455,5.4546217918396,3.8865509033203125,6.25000029685907e-05
1.882259488105774,0.8500000238418579,5.132428169250488,3.5325074195861816,1.8458623886108398,5.360929489135742,3.7919464111328125,6.25000029685907e-05
1.8746188879013062,0.8500000238418579,5.617257118225098,4.023831367492676,1.8458983898162842,5.328679084777832,3.7596657276153564,6.25000029685907e-05
1.8636051416397095,0.8500000238418579,5.428355693817139,3.8442914485931396,1.8466953039169312,5.363373279571533,3.79368257522583,6.25000029685907e-05
1.8679255247116089,0.8500000238418579,5.416946887969971,3.8292102813720703,1.8471314907073975,5.371286392211914,3.8012237548828125,6.25000029685907e-05
1.869905948638916,0.8500000238418579,5.236670017242432,3.647249460220337,1.8467364311218262,5.450777530670166,3.881051540374756,6.25000029685907e-05
1.8819540739059448,0.8500000238418579,5.31833028793335,3.7186689376831055,1.8448742628097534,5.505948543548584,3.937805414199829,6.25000029685907e-05
1.8691999912261963,0.8500000238418579,5.285457134246826,3.6966371536254883,1.8409920930862427,5.434191703796387,3.8693487644195557,6.25000029685907e-05
1.8628979921340942,0.8500000238418579,5.453922271728516,3.8704583644866943,1.8384857177734375,5.236605644226074,3.6738927364349365,6.25000029685907e-05
1.8476556539535522,0.8500000238418579,5.422163009643555,3.8516554832458496,1.837011694908142,5.425471305847168,3.8640105724334717,6.25000029685907e-05
1.8739596605300903,0.8500000238418579,5.425155162811279,3.8322887420654297,1.8367178440093994,5.382110595703125,3.820899724960327,6.25000029685907e-05
1.8538322448730469,0.8500000238418579,5.396998405456543,3.8212404251098633,1.8362138271331787,5.500230312347412,3.939448595046997,6.25000029685907e-05
1.870595097541809,0.8500000238418579,5.484682559967041,3.89467716217041,1.8355963230133057,5.566913604736328,4.006656646728516,6.25000029685907e-05
1.8638097047805786,0.8500000238418579,5.277050971984863,3.692811965942383,1.834506869316101,5.619006156921387,4.059675693511963,6.25000029685907e-05
1.8692750930786133,0.8500000238418579,5.388200759887695,3.79931640625,1.8318312168121338,5.567880630493164,4.010824203491211,6.25000029685907e-05
1.8469610214233398,0.8500000238418579,5.346024036407471,3.7761070728302,1.8307414054870605,5.228639125823975,3.672508478164673,6.25000029685907e-05
1.8424721956253052,0.8500000238418579,5.303383827209473,3.7372820377349854,1.8299827575683594,5.388720512390137,3.833235740661621,6.25000029685907e-05
1.8394719362258911,0.8500000238418579,5.490318775177002,3.926767349243164,1.828910231590271,5.507465839385986,3.9528918266296387,6.25000029685907e-05
1.8417309522628784,0.8500000238418579,5.43157958984375,3.8661084175109863,1.8288683891296387,5.484817981719971,3.9302802085876465,3.125000148429535e-05
1.8591564893722534,0.8500000238418579,5.395220756530762,3.8149380683898926,1.828348994255066,5.448808670043945,3.8947112560272217,3.125000148429535e-05
1.8611819744110107,0.8500000238418579,5.351187705993652,3.769183397293091,1.827465534210205,5.420309066772461,3.8669631481170654,3.125000148429535e-05
1.8326536417007446,0.8500000238418579,5.311427116394043,3.753671646118164,1.8273719549179077,5.350476264953613,3.7972095012664795,3.125000148429535e-05
1.8386117219924927,0.8500000238418579,5.512182712554932,3.9493627548217773,1.8282510042190552,5.565782070159912,4.011768817901611,3.125000148429535e-05
1.853460669517517,0.8500000238418579,5.2566657066345215,3.6812238693237305,1.8286575078964233,5.261638164520264,3.707279682159424,3.125000148429535e-05
1.8574862480163574,0.8500000238418579,5.3890700340271,3.8102056980133057,1.8273022174835205,5.711725234985352,4.158517837524414,3.125000148429535e-05
1.8509553670883179,0.8500000238418579,5.507744312286377,3.934431791305542,1.8276896476745605,5.499427318572998,3.9458909034729004,3.125000148429535e-05
1.8638290166854858,0.8500000238418579,5.018179416656494,3.433925151824951,1.8276232481002808,5.486617565155029,3.933138132095337,3.125000148429535e-05
1.8497713804244995,0.8500000238418579,5.390423774719238,3.818117618560791,1.8266417980194092,5.343150615692139,3.7905051708221436,3.125000148429535e-05
1.8462610244750977,0.8500000238418579,5.504183292388916,3.934861421585083,1.8262906074523926,5.468137264251709,3.915790319442749,3.125000148429535e-05
1.8652349710464478,0.8500000238418579,5.418831825256348,3.8333818912506104,1.8266102075576782,5.328343391418457,3.7757251262664795,3.125000148429535e-05
1.8596152067184448,0.8500000238418579,5.395549297332764,3.814876079559326,1.8271087408065796,5.497270584106445,3.944227933883667,3.125000148429535e-05
1.8527789115905762,0.8500000238418579,5.358791351318359,3.7839293479919434,1.8275370597839355,5.468414306640625,3.9150078296661377,3.125000148429535e-05
1.8373668193817139,0.8500000238418579,5.1650071144104,3.603245258331299,1.8280068635940552,5.535204887390137,3.9813995361328125,3.125000148429535e-05
1.8418329954147339,0.8500000238418579,5.336916446685791,3.771357774734497,1.8279647827148438,5.372486591339111,3.818716526031494,3.125000148429535e-05
1.8614223003387451,0.8500000238418579,5.12919807434082,3.5469892024993896,1.8268905878067017,5.425105094909668,3.8722481727600098,3.125000148429535e-05
1.8560186624526978,0.8500000238418579,5.072207450866699,3.4945921897888184,1.8260407447814941,5.263605117797852,3.711470365524292,3.125000148429535e-05
1.8592002391815186,0.8500000238418579,5.091318130493164,3.510998010635376,1.8258087635040283,5.303281307220459,3.7513439655303955,3.125000148429535e-05
1.8468364477157593,0.8500000238418579,5.1823530197143555,3.612541913986206,1.825394868850708,5.375853061676025,3.824267625808716,3.125000148429535e-05
1.861854076385498,0.8500000238418579,5.339348793029785,3.756772994995117,1.8249698877334595,5.381637096405029,3.8304123878479004,1.5625000742147677e-05
1.850005030632019,0.8500000238418579,5.3578715324401855,3.785367488861084,1.824824571609497,5.326304912567139,3.7752044200897217,1.5625000742147677e-05
1.8418864011764526,0.8500000238418579,5.187553882598877,3.621950149536133,1.8246147632598877,5.229733943939209,3.678811550140381,1.5625000742147677e-05
1.8541253805160522,0.8500000238418579,5.3963494300842285,3.820343017578125,1.8241631984710693,5.561989784240723,4.011451721191406,1.5625000742147677e-05
1.8481576442718506,0.8500000238418579,5.297131538391113,3.7261972427368164,1.8232225179672241,5.478613376617432,3.928873300552368,1.5625000742147677e-05
1.8379849195480347,0.8500000238418579,5.307769775390625,3.745483160018921,1.8225071430206299,5.173095226287842,3.6239638328552246,1.5625000742147677e-05
1.8372879028320312,0.8500000238418579,5.181042671203613,3.61934757232666,1.8217962980270386,5.566919326782227,4.018392562866211,1.5625000742147677e-05
1.8469839096069336,0.8500000238418579,5.542919158935547,3.972982883453369,1.8206684589385986,5.343544960021973,3.7959768772125244,1.5625000742147677e-05
1.845566749572754,0.8500000238418579,5.155393123626709,3.586660861968994,1.819583773612976,5.292299747467041,3.7456541061401367,1.5625000742147677e-05
1.845198392868042,0.8500000238418579,5.421457290649414,3.853039503097534,1.818321704864502,5.461112022399902,3.9155383110046387,1.5625000742147677e-05
1.835260033607483,0.8500000238418579,5.153179168701172,3.5932085514068604,1.8169995546340942,5.376016616821289,3.8315680027008057,1.5625000742147677e-05
1.837394118309021,0.8500000238418579,5.369102954864502,3.8073174953460693,1.815891981124878,5.364896297454834,3.82138729095459,1.5625000742147677e-05
1.8516640663146973,0.8500000238418579,5.1786322593688965,3.60471773147583,1.8152830600738525,5.349484920501709,3.8064944744110107,1.5625000742147677e-05
1.8515499830245972,0.8500000238418579,5.447998523712158,3.874180793762207,1.814951777458191,5.399249076843262,3.856539726257324,1.5625000742147677e-05
1.841799020767212,0.8500000238418579,5.3819122314453125,3.816383123397827,1.8146319389343262,5.269406795501709,3.726969003677368,1.5625000742147677e-05
1.8361376523971558,0.8500000238418579,5.521083831787109,3.960366725921631,1.8139898777008057,5.231175422668457,3.689284086227417,1.5625000742147677e-05
1.8324673175811768,0.8500000238418579,5.396908760070801,3.839311122894287,1.813704252243042,5.628719329833984,4.087070941925049,1.5625000742147677e-05
1.837080955505371,0.8500000238418579,5.027319431304932,3.4658007621765137,1.8139464855194092,5.681295871734619,4.139441013336182,1.5625000742147677e-05
1.8356225490570068,0.8500000238418579,5.3392767906188965,3.7789974212646484,1.8140770196914673,5.44858455657959,3.906618595123291,1.5625000742147677e-05
1.836836576461792,0.8500000238418579,5.271393299102783,3.7100822925567627,1.813785433769226,5.423525333404541,3.881807804107666,1.5625000742147677e-05
1.863549828529358,0.8500000238418579,5.307490825653076,3.72347354888916,1.8135432004928589,5.410562038421631,3.8690502643585205,7.812500371073838e-06
1.8339134454727173,0.8500000238418579,5.129161357879639,3.5703346729278564,1.8135173320770264,5.358149528503418,3.8166592121124268,7.812500371073838e-06
1.8323346376419067,0.8500000238418579,5.312445163726807,3.754960298538208,1.8133662939071655,5.403549671173096,3.8621881008148193,7.812500371073838e-06
1.8351807594299316,0.8500000238418579,5.390026092529297,3.830122709274292,1.8132492303848267,5.326935291290283,3.7856738567352295,7.812500371073838e-06
1.8426964282989502,0.8500000238418579,5.309487819671631,3.743196487426758,1.8134493827819824,5.378742218017578,3.8373100757598877,7.812500371073838e-06
1.8360955715179443,0.8500000238418579,5.191816329956055,3.6311347484588623,1.8139289617538452,5.237522125244141,3.6956820487976074,7.812500371073838e-06
1.8378112316131592,0.8500000238418579,5.2490997314453125,3.686959743499756,1.8140313625335693,5.534405708312988,3.992478609085083,7.812500371073838e-06
1.8323793411254883,0.8500000238418579,5.117288112640381,3.559765338897705,1.814019799232483,5.2448954582214355,3.7029788494110107,7.812500371073838e-06
1.8528841733932495,0.8500000238418579,5.365678310394287,3.790726900100708,1.8140689134597778,5.423598766326904,3.8816404342651367,7.812500371073838e-06
1.8322844505310059,0.8500000238418579,5.2162766456604,3.6588354110717773,1.813833475112915,5.172727584838867,3.6309690475463867,7.812500371073838e-06
1.855096459388733,0.8500000238418579,5.397410869598389,3.8205785751342773,1.8134896755218506,5.658872127532959,4.117406845092773,7.812500371073838e-06
1.8463690280914307,0.8500000238418579,5.339254856109619,3.769840717315674,1.8131521940231323,5.444787979125977,3.903609037399292,7.812500371073838e-06
1.8442306518554688,0.8500000238418579,5.455002307891846,3.887406587600708,1.812971591949463,5.395095348358154,3.854069232940674,7.812500371073838e-06
1.822908639907837,0.8500000238418579,5.510432720184326,3.9609601497650146,1.8132030963897705,5.174759387969971,3.6335372924804688,7.812500371073838e-06
1.8444137573242188,0.8500000238418579,5.350908279418945,3.783156156539917,1.813278317451477,5.233041763305664,3.6917550563812256,7.812500371073838e-06
1.8546326160430908,0.8500000238418579,5.490872859954834,3.9144349098205566,1.8131036758422852,5.317319869995117,3.776181697845459,7.812500371073838e-06
1.8317742347717285,0.8500000238418579,5.455284595489502,3.8982765674591064,1.8129810094833374,5.492408275604248,3.9513745307922363,7.812500371073838e-06
1.8358334302902222,0.8500000238418579,5.102168083190918,3.5417091846466064,1.8128167390823364,5.457923412322998,3.917029619216919,7.812500371073838e-06
1.8376610279083252,0.8500000238418579,5.574229717254639,4.0122175216674805,1.8127646446228027,5.384748458862305,3.843898296356201,7.812500371073838e-06
